"he latest the climate change daily!  thanks to #climat", 0
"lorious leader action on climate change thoughtcrime double plus good. ", 1
"lah blah, steve bannon is pro-facts lol he doesn't believe in climate change. he's a fucking halfwit bigot ", 1
"t what if we simply stopped making transportation investments that make climate change worse? ", 1
" sent him my essay on sea level rise/ climate change for a class assignment and it would be awesome to get feedbac", 0
" just joined in combating climate change. take action #beforetheflood ", 1
"rump says nobody really knows if climate change is real - the washington post  error on safety side doesn't hurt! ", 1
"ooks like i willbe seeing my shadow shortly. 6 more weeks of winter. but we have global warming to help is ou", 0
"fallacy' has nothing to do with the science of climate change. belief is not required, evide ", 1
"report  concerned scientists warn us about #killerpalm oil &amp; global warming ", 1
"ey climate change goal may be missed:  (via #actonclimat", 1
"arry is trying to come up with a chorus about the dangers of global warming every single da", 0
"ave water,grow tree than less global warmin", 1
"ew zealand could become the first country in the world to recognize climate change as a valid reason to be granted residency", 1
"t's weird how we keep seeing consequences to that imaginary climate change thing. ", 1
"o, the worst-case climate change futures havent been ruled out  ", 1
"cience &amp; research cannot be disappeared. this is not just dangerous- treasonous. military says climate change=threa", 1
"ore's climate change followers send a clear message to trump, and that message is: 'there aren't very many of us.' ", -1
"oliticians warn about  global warming &amp; vow to combat w/ even more absurd fantasies about immediately de-carbonizing economy!", -1
"o, bill nye is not debating sarah palin on climate change #nye ", 0
" find it very fascinating (and a bit frightening too). i learned about it when teaching climate change last year.", 0
"hat moment when china is actually becoming world leader on fighting climate change bc they don't think 'god' will ", 1
"hy are u denying 99% of scientists? none of them says the hurricanes are result of global warmin", 0
" swear i will never scoff at global warming again, please just let the temperature fall below 6", 1
"he worst summer pests are on the rise due to global warming:   v", 1
"n its 100th birthday in 1959, edward teller warned the oil industry about global warming  #globalwarming #history ", 0
"ot to mention trump and family who wrote a letter in 2009 urging obama to act on climate change", 1
"ou might mention that hilary clinton strongly endorses science and believes climate change is real", 1
"t's november and this is the forecast, but sure climate change is a hoax  ", 1
"ore liberal hypocrisy.  cite 'science' when it comes to climate change, but deny biology when it comes to conception &amp; gende", -1
"rom the economist espresso: hot, unbothered: global warming ", 0
"his is how it's done, not toadying to trump, bill gates &amp; investors worth $170 b launch fund to fight climate change", 1
"ind out what is true and false about climate change ", 0
"ffshore wind, clever concrete and fake meat: the top climate change innovations!  ", 1
"oogle earth's timelapse update illustrates 30 years of climate change ", 1
"f you ever want to see global warming in action come to nc, we go from 80 to hailstorms faster than trump can say chin", 1
"t was colder in atlanta georgia today than in anchorage alaska.......but there is no climate change because republ ", 1
"indings may help scientists understand how much carbon dioxide can be released while still limiting global warming ", 1
"ot only stronger &amp; more frequent, but harder to predict their path - but global warming can't be t ", 0
"ranslation: i'll believe global warming when all of humanity (not just some) faces extinction du ", 1
"ip: weather channel founder john coleman dies - called 'global warming' a 'hoax'  via", -1
"umagin bigla tanginang climate chang", 0
"ear sir,world needs to fight global warming,people needs their basic needs  find out a path where needs of both is met", 1
"u. make smarter choices as a consumer to combat climate change.'  #climatechange ", 1
"he global warming struggle is real", 1
"ntil global warming becomes the answer to all the solutions of our problem what i write will live foreve", 1
"ey! we have a new board for bouncing ideas on climate change, are you interested? ", 1
"ow nature and people, including human-induced climate change, alter the pathways of wate", 1
"emember, our discussions on climate change are _also_ discussions about devastating nuclear waste ", 1
"hina rolls its eyes at trump over his ridiculous climate change claim  ", 1
